"nm","Well","mumax","rsquared"
680,"A1",0.198815364767315,1
680,"A2",0.183740370964671,0.999501061373564
680,"A3",0.181656863821452,1
680,"A4",1.95989357415457e-05,8.162642866405e-05
680,"A5",0.021583793493202,0.944271583391244
680,"A6",-0.000862957473761037,0.469250952285168
680,"A7",0.255138764464177,1
680,"A8",0.20937577509624,1
680,"A9",0.15705492376588,0.991307101156373
680,"A10",0.16891494949102,1
680,"A11",0.114109744922863,0.999616938634596
680,"A12",0.117553253252495,1
680,"B1",0.170919016004539,1
680,"B2",0.168546986517171,0.997227145807458
680,"B3",0.159967454259721,1
680,"B4",-0.000158673377100685,0.0151981319298423
680,"B5",-0.000419152271680722,0.091282424017795
680,"B6",-0.000534861951004902,0.0715853001305375
680,"B7",0.252863944597589,1
680,"B8",0.291386293097447,1
680,"B9",0.236143986858586,1
680,"B10",0.448602941657394,1
680,"B11",0.399608271209123,1
680,"B12",0.333944246629012,1
680,"C1",0.156997184034315,0.999662999613824
680,"C2",0.142538883372101,0.996083643891718
680,"C3",0.134340833064945,0.995563067682184
680,"C4",0.00283934704633492,0.762642465352804
680,"C5",0.00389079213399154,0.910849213036719
680,"C6",0.00342431072620699,0.909375823343368
680,"C7",0.245251681718902,1
680,"C8",0.152498185611479,1
680,"C9",0.123191162864227,1
680,"C10",0.387686910959613,1
680,"C11",0.171780238985812,1
680,"C12",0.317948879944117,1
680,"D1",0.122392814400807,1
680,"D2",0.116783146555574,0.998771334827937
680,"D3",0.125146997650566,1
680,"D4",-0.000385257818741536,0.862531726977465
680,"D5",0.00220256854769449,0.960805569723195
680,"D6",0.00575902525632987,0.981231225698654
680,"D7",0.269583177205811,1
680,"D8",0.0907755559079776,0.998897814804643
680,"D9",0.141663136646951,1
680,"D10",0.320084357712,1
680,"D11",0.416230712004113,1
680,"D12",0.283174817928772,1
680,"E1",0.135770632728659,1
680,"E2",0.109140054797944,1
680,"E3",0.0939373014836741,1
680,"E4",-0.00433163571265434,0.824019342068419
680,"E5",0.00412712113177067,0.985739987225835
680,"E6",0.00185349208182458,0.923289121790652
680,"E7",0.364606900646517,1
680,"E8",0.39280135209339,1
680,"E9",0.358395542926428,1
680,"E10",0.315286127109935,1
680,"E11",0.383835672203299,1
680,"E12",0.172859945373679,1
680,"F1",0.000831634173823322,0.105432257971222
680,"F2",0.000158565527611196,0.932479939703796
680,"F3",-0.000121172137126733,0.0051420229080924
680,"F4",0.0198695466834728,1
680,"F5",0.00481291174436483,0.95125423983539
680,"F6",0.000430412031995955,0.0903356920458437
680,"F7",0.402213276249591,1
680,"F8",0.519705891037888,1
680,"F9",0.330438154610599,1
680,"F10",0.223555946115293,1
680,"F11",0.0733949395461407,0.999113429450598
680,"F12",0.0879890854624457,1
680,"G1",0.00866909859625215,1
680,"G2",-0.000254020330883086,0.00968813319083939
680,"G3",5.4665123655695e-05,0.000666145551612263
680,"G4",0.0215207835804217,0.976019513886882
680,"G5",0.0399028854938288,1
680,"G6",0.0393239486119581,0.999999999999999
680,"G7",0.359788068670514,1
680,"G8",0.393589830873721,1
680,"G9",0.389598562720504,1
680,"H1",0.000217165632283719,0.00279935195178027
680,"H2",0.00134619895726337,0.392221042630659
680,"H3",0.00317121923804815,0.807320417544289
680,"H4",0.180839744842591,1
680,"H5",0.254257892824898,1
680,"H6",0.254812483312873,1
680,"H7",0.226058570421648,1
680,"H8",0.244179186419266,1
680,"H9",0.112437264160436,1
720,"A1",0.224841693734033,1
720,"A2",0.224256714553559,1
720,"A3",0.209677427605695,1
720,"A4",-0.000168339063601942,0.00450900232912488
720,"A5",0.0159041264521843,0.920872754347998
720,"A6",0.0324266298728177,0.886745055420611
720,"A7",0.196708446215094,1
720,"A8",0.206685518404002,1
720,"A9",0.18212565555008,0.99318860011812
720,"A10",0.180613595943441,1
720,"A11",0.12622487067269,0.999023081613195
720,"A12",0.133000850056176,1
720,"B1",0.197194095089737,1
720,"B2",0.20044186632576,0.998531774722419
720,"B3",0.183958930106229,1
720,"B4",0.000231891272393178,0.0203894015913586
720,"B5",-0.000721710043007951,0.100274445577507
720,"B6",-0.000602843151335424,0.0886706833071054
720,"B7",0.174087943038224,1
720,"B8",0.164913214013617,0.995345225614417
720,"B9",0.180555525161727,1
720,"B10",0.359147372695872,1
720,"B11",0.311988596010408,1
720,"B12",0.237170824566694,1
720,"C1",0.18972911953716,1
720,"C2",0.171308862918792,0.997390034898733
720,"C3",0.161980123678116,0.995621200246105
720,"C4",0.00300169896807403,0.791389744180666
720,"C5",0.00571980738209521,0.892445389132724
720,"C6",0.00210153400061334,0.916981115798543
720,"C7",0.177465784889842,1
720,"C8",0.132274755595466,1
720,"C9",0.145141384880857,1
720,"C10",0.293947944406083,1
720,"C11",0.200740670625386,1
720,"C12",0.239055659719102,1
720,"D1",0.149535007159764,1
720,"D2",0.138500895267905,1
720,"D3",0.144288135771222,1
720,"D4",-0.000538494431673479,0.87198780106274
720,"D5",0.00301362994351555,0.951966687155458
720,"D6",0.00405567580159364,0.982845867313214
720,"D7",0.210818163690845,1
720,"D8",0.108396269670599,1
720,"D9",0.11072894338852,1
720,"D10",0.166099412765108,0.995714677747622
720,"D11",0.392909315601183,1
720,"D12",0.179256766889194,0.996682952020376
720,"E1",0.148079944392758,1
720,"E2",0.133991400248812,1
720,"E3",0.114559650046055,1
720,"E4",-0.0022927074827009,0.845108857412952
720,"E5",0.00540744351563829,0.953809815605892
720,"E6",-0.00286169094663835,0.724387706834464
720,"E7",0.269699619144222,1
720,"E8",0.283474925565364,1
720,"E9",0.267729332395741,1
720,"E10",0.240723740672804,1
720,"E11",0.314589481886313,1
720,"E12",0.146066561839482,1
720,"F1",-0.000455792213086642,0.0141188960888385
720,"F2",0.00154355101716141,0.950281350773619
720,"F3",-0.000380205384243715,0.0529516571281594
720,"F4",0.0067851400894571,0.713683955564459
720,"F5",0.00862199273363686,0.958269039329712
720,"F6",0.00894774987582003,0.815687623357379
720,"F7",0.311108947258067,1
720,"F8",0.470468673719226,1
720,"F9",0.248522122866682,1
720,"F10",0.152777785800322,1
720,"F11",0.0888374766828043,0.999079354237507
720,"F12",0.104306949288066,1
720,"G1",0.00227222805125506,0.889942541009078
720,"G2",-2.42797839129598e-06,9.48506083675582e-07
720,"G3",0.000378352961442522,0.0195248606386622
720,"G4",0.0236174039022872,0.970434555577644
720,"G5",0.0371423552079675,1
720,"G6",0.0244256703083769,0.896920983054367
720,"G7",0.308983290753993,1
720,"G8",0.33141114136495,1
720,"G9",0.324355614913445,1
720,"H1",0.000112146322214054,0.000637352464962881
720,"H2",0.00201262525666323,0.542461642163105
720,"H3",0.00295923705887053,0.798170050879242
720,"H4",0.20775330257668,1
720,"H5",0.200686787776567,1
720,"H6",0.194033970351949,1
720,"H7",0.182891925457464,1
720,"H8",0.190614464927281,1
720,"H9",0.126995742765786,1
