Time,Temperature(¡C),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
00:00:00,22.2,0.5513,0.5877,0.497,0.1119,0.1162,0.1141,0.4403,0.4533,0.4351,0.352,0.3619,0.4058,0.5484,0.5398,0.5419,0.1273,0.1208,0.1162,0.4444,0.4447,0.4302,0.395,0.408,0.4177,0.5772,0.5887,0.5752,0.1606,0.1601,0.1669,0.4356,0.4284,0.4866,0.4131,0.3869,0.4239,0.5696,0.5849,0.5791,0.1664,0.1604,0.1731,0.4177,0.3965,0.4493,0.4133,0.3915,0.4251,0.5178,0.5388,0.5798,0.1701,0.177,0.1696,0.3622,0.3834,0.3968,0.408,0.4079,0.4097,0.1246,0.1076,0.1124,0.1627,0.1649,0.1652,0.3456,0.3359,0.3602,0.4264,0.4016,0.4015,0.1085,0.1135,0.1142,0.1625,0.2053,0.1734,0.3364,0.3699,0.3468,0.0895,0.0913,0.0943,0.1208,0.1177,0.1116,0.4464,0.4436,0.4613,0.3573,0.3546,0.3604,0.09,0.0942,0.0903
01:00:00,22.2,0.5129,0.5622,0.5393,0.1125,0.1119,0.1165,0.5203,0.5244,0.543,0.4108,0.3483,0.4124,0.508,0.5725,0.5429,0.1268,0.121,0.116,0.5279,0.5409,0.5082,0.538,0.5358,0.5238,0.5349,0.5907,0.6018,0.1587,0.1574,0.1615,0.5166,0.489,0.4928,0.5376,0.4262,0.5307,0.5458,0.5691,0.5363,0.1638,0.1588,0.1657,0.5116,0.4228,0.5033,0.5186,0.5311,0.5175,0.5617,0.5303,0.536,0.1677,0.1682,0.1667,0.4722,0.5032,0.5066,0.5145,0.5482,0.4791,0.1263,0.1078,0.1131,0.1607,0.1638,0.1646,0.4708,0.5037,0.4684,0.5051,0.4127,0.4101,0.1085,0.114,0.1161,0.1636,0.1734,0.1741,0.4523,0.4967,0.4711,0.0898,0.0921,0.0959,0.1204,0.1168,0.1123,0.4917,0.5219,0.5401,0.4319,0.4375,0.3524,0.0902,0.0944,0.0906
02:00:00,22.2,0.4837,0.5204,0.4573,0.1121,0.1117,0.1204,0.4579,0.4884,0.4665,0.4532,0.3338,0.4267,0.5171,0.5015,0.4875,0.1263,0.1194,0.115,0.4765,0.4793,0.4714,0.4517,0.4529,0.4524,0.5024,0.5091,0.5192,0.1557,0.1551,0.1587,0.4741,0.5135,0.493,0.458,0.4791,0.4807,0.5182,0.513,0.5038,0.1614,0.1568,0.1637,0.492,0.4316,0.5109,0.4729,0.4911,0.472,0.5102,0.4991,0.5124,0.1629,0.1661,0.1646,0.4259,0.4319,0.4318,0.4845,0.5344,0.5171,0.1239,0.1077,0.113,0.1585,0.1625,0.1636,0.4502,0.4797,0.4638,0.4923,0.4383,0.4308,0.1085,0.1126,0.1155,0.1643,0.1734,0.1779,0.4654,0.4676,0.4672,0.0896,0.092,0.0974,0.1194,0.1161,0.1115,0.4512,0.4527,0.462,0.4513,0.4715,0.359,0.0904,0.0943,0.091
03:00:00,22.2,0.5433,0.5794,0.4877,0.1128,0.1125,0.1134,0.4705,0.4964,0.4961,0.4851,0.3345,0.426,0.541,0.5343,0.5104,0.1264,0.1207,0.1153,0.4839,0.4938,0.4713,0.4523,0.4495,0.4495,0.5532,0.5622,0.5515,0.1556,0.1549,0.1587,0.4784,0.5215,0.5037,0.4608,0.4926,0.4824,0.5423,0.5386,0.5286,0.161,0.1562,0.1628,0.4897,0.4607,0.5292,0.4775,0.5027,0.4877,0.518,0.516,0.5348,0.1659,0.1665,0.1652,0.4071,0.4254,0.417,0.4901,0.5376,0.5187,0.1265,0.1076,0.113,0.1605,0.1625,0.1652,0.4252,0.424,0.4308,0.4924,0.4524,0.4489,0.109,0.1146,0.1154,0.1681,0.1756,0.18,0.432,0.4602,0.4511,0.0898,0.0921,0.0978,0.1242,0.1169,0.1127,0.4779,0.4654,0.4867,0.4566,0.4753,0.3606,0.0903,0.0946,0.0907
04:00:00,22.2,0.6404,0.6693,0.5707,0.1144,0.1127,0.1139,0.532,0.5274,0.5194,0.4663,0.3291,0.4255,0.6013,0.5941,0.5684,0.1276,0.1231,0.1168,0.5265,0.5098,0.4896,0.5127,0.5027,0.5028,0.612,0.6063,0.5866,0.1564,0.1554,0.1587,0.5034,0.5213,0.5094,0.4918,0.4557,0.5082,0.5863,0.5809,0.5718,0.1626,0.1565,0.1628,0.4985,0.4759,0.5342,0.4747,0.4771,0.4994,0.5553,0.5511,0.555,0.166,0.167,0.1666,0.4665,0.4823,0.4726,0.488,0.5326,0.5115,0.1277,0.1077,0.1143,0.1623,0.1639,0.1674,0.4295,0.4187,0.4254,0.4881,0.4709,0.4701,0.1092,0.1158,0.1169,0.1716,0.1764,0.1864,0.4209,0.4434,0.4225,0.0898,0.092,0.0974,0.1257,0.1184,0.1137,0.5614,0.5302,0.5604,0.4579,0.4235,0.3616,0.09,0.0944,0.0904
05:00:00,22.2,0.7778,0.806,0.6806,0.1106,0.1128,0.1109,0.6326,0.6089,0.6002,0.4221,0.3287,0.4238,0.7067,0.6969,0.6495,0.1257,0.1185,0.1134,0.6051,0.5627,0.5493,0.6106,0.5964,0.5972,0.7061,0.6803,0.6459,0.1533,0.1532,0.1562,0.5624,0.5184,0.5171,0.5695,0.4934,0.586,0.6422,0.6325,0.6242,0.1592,0.1551,0.1602,0.5357,0.4824,0.5313,0.5124,0.4881,0.5542,0.6071,0.5947,0.5871,0.1645,0.1645,0.1642,0.572,0.5856,0.5743,0.4928,0.5314,0.4961,0.1242,0.1072,0.1116,0.1603,0.1626,0.1656,0.5037,0.4847,0.4885,0.4999,0.4759,0.4763,0.109,0.1116,0.1139,0.169,0.1716,0.1877,0.4679,0.4791,0.4557,0.0896,0.0918,0.0974,0.119,0.1164,0.1126,0.6721,0.6244,0.6634,0.4331,0.4198,0.3612,0.0902,0.0946,0.0907
06:00:00,22.2,0.9271,0.9531,0.8144,0.1143,0.1163,0.1136,0.743,0.7192,0.7058,0.4431,0.3348,0.4218,0.8353,0.8274,0.76,0.1279,0.1217,0.1166,0.7031,0.6543,0.6396,0.7301,0.7098,0.7134,0.8294,0.7974,0.7461,0.1556,0.1548,0.1591,0.6421,0.5095,0.5523,0.669,0.5813,0.6865,0.7237,0.7064,0.7022,0.1609,0.1557,0.1617,0.6068,0.4874,0.5258,0.5909,0.5569,0.6518,0.6758,0.6538,0.6203,0.1664,0.1663,0.1656,0.6994,0.7083,0.6944,0.5383,0.5757,0.5066,0.1276,0.1071,0.1143,0.1632,0.1627,0.1669,0.6055,0.5879,0.5797,0.5491,0.4856,0.482,0.1093,0.1158,0.1168,0.1687,0.1768,0.1836,0.554,0.5741,0.5398,0.0895,0.0916,0.0979,0.1241,0.1188,0.1154,0.8,0.741,0.7866,0.4307,0.4703,0.366,0.0901,0.0944,0.0904
07:00:00,22.2,1.064,1.0878,0.9545,0.1117,0.1134,0.1117,0.8707,0.8474,0.8312,0.5102,0.3402,0.418,0.972,0.9622,0.8769,0.1266,0.1183,0.1137,0.8132,0.7554,0.7425,0.8573,0.835,0.8388,0.9507,0.9071,0.8512,0.1539,0.1533,0.1573,0.7381,0.5228,0.6142,0.7844,0.6867,0.8126,0.8181,0.7958,0.7935,0.1587,0.1549,0.16,0.6896,0.4788,0.5248,0.6773,0.641,0.7604,0.7623,0.7279,0.6562,0.1631,0.1643,0.1638,0.8343,0.8459,0.8262,0.6142,0.6487,0.5564,0.1246,0.107,0.113,0.1616,0.1599,0.1658,0.7262,0.7066,0.6919,0.6197,0.4829,0.4751,0.1093,0.1125,0.1149,0.1676,0.1775,0.1823,0.6549,0.6755,0.6357,0.0897,0.0918,0.0982,0.1201,0.1172,0.1139,0.926,0.8697,0.9108,0.4803,0.5524,0.3614,0.0899,0.0947,0.0907
08:00:00,22.2,1.1639,1.1869,1.0719,0.1114,0.112,0.1117,0.9866,0.9588,0.943,0.5911,0.3528,0.4371,1.0899,1.0816,0.9985,0.1257,0.1195,0.1144,0.9275,0.8529,0.8531,0.9762,0.9507,0.9577,1.0674,1.0246,0.9634,0.1538,0.1531,0.1572,0.8483,0.5675,0.6921,0.9023,0.7975,0.9249,0.9223,0.8882,0.8863,0.1584,0.1548,0.1596,0.7955,0.47,0.541,0.7787,0.7277,0.8601,0.8606,0.8113,0.7105,0.1638,0.164,0.1631,0.9571,0.9614,0.9421,0.6899,0.7273,0.6276,0.1239,0.1067,0.112,0.1579,0.1594,0.165,0.8375,0.8206,0.8015,0.703,0.4722,0.4647,0.1092,0.1123,0.1144,0.1705,0.1764,0.1859,0.7652,0.7714,0.7306,0.0897,0.092,0.0983,0.1193,0.1172,0.1149,1.0389,0.984,1.0208,0.5518,0.6405,0.375,0.0902,0.0948,0.0912
09:00:00,22.2,1.235,1.2562,1.1646,0.1116,0.1115,0.1121,1.0845,1.0487,1.0338,0.6747,0.3747,0.4763,1.1794,1.1749,1.101,0.1264,0.1186,0.115,1.0183,0.9465,0.945,1.077,1.0526,1.0581,1.1572,1.1231,1.066,0.1541,0.1534,0.1572,0.9452,0.6334,0.7613,1.0005,0.8925,1.0184,1.0235,0.9841,0.9828,0.1582,0.1548,0.1597,0.889,0.4772,0.5798,0.8721,0.8135,0.9529,0.9645,0.9029,0.7794,0.1617,0.1636,0.1625,1.0678,1.0579,1.0389,0.763,0.7779,0.6928,0.1252,0.107,0.1124,0.1577,0.1576,0.164,0.9291,0.9152,0.8961,0.7852,0.4668,0.4672,0.11,0.1135,0.1143,0.171,0.1747,0.1828,0.8597,0.8571,0.8227,0.0894,0.092,0.0985,0.12,0.1176,0.1146,1.129,1.0763,1.1101,0.623,0.7268,0.4049,0.0903,0.0946,0.0908
